3,Qu’est-ce qu’un 1rithme ?,Une suite d’instructions permettant de résoudre un problème ou d’accomplir une tâche
3,Quelle structure de contrôle permet de répéter des instructions ?,Une boucle 
3,Quelle est la différence entre un 1rithme itératif et récursif ?,L’itératif utilise des boucles
3,Qu’est-ce qu’une variable dans un 1rithme ?,Un espace de stockage pour une valeur qui peut changer
3,Qu’est-ce qu’une condition dans un 1rithme ?,Une expression qui permet de décider quel chemin suivre
3,À quoi sert un diagramme de flux (flowchart) ?,À représenter visuellement un 1rithme
3,Qu’est-ce qu’une fonction ou procédure ?,Un bloc d’instructions réutilisable pour effectuer une tâche précise
3,Que signifie "complexité 1rithmique" ?,L’évaluation du temps ou de l’espace nécessaires pour exécuter un 1rithme
3,Quel est le rôle d’un tableau (array) dans un 1rithme ?,Stocker plusieurs valeurs du même type sous un même nom
3,Qu’est-ce qu’une pile (stack) ?,Une structure de données où le dernier élément ajouté est le premier à sortir  
3,Qu’est-ce qu’une file (queue) ?,Une structure de données où le premier élément ajouté est le premier à sortir 
3,Quelle est la différence entre tri par insertion et tri à bulles ?,Tri par insertion insère chaque élément à sa place
3,Qu’est-ce qu’une condition "if-else" ?,Une structure qui exécute un bloc si la condition est vraie et un autre bloc sinon
3,Qu’est-ce que la récursivité ?,Quand une fonction s’appelle elle-même pour résoudre un problème
3,Qu’est-ce qu’un 1rithme de recherche linéaire ?,Chercher un élément dans une liste en vérifiant un par un tous les éléments
3,Qu’est-ce qu’un 1rithme de recherche binaire ?,Chercher dans une liste triée en divisant la liste par deux à chaque étape
3,Qu’est-ce qu’une complexité en O(n) ?,Le temps d’exécution augmente proportionnellement à la taille des données
3,Qu’est-ce qu’une structure de données ?,Une organisation particulière des données pour faciliter leur manipulation
3,Qu’est-ce qu’une liste chaînée ?,Une suite d’éléments où chaque élément pointe vers le suivant
3,Qu’est-ce qu’un 1rithme glouton (greedy) ?,Un 1rithme qui fait le choix le plus optimal à chaque étape
5,Quel métier conçoit et développe des logiciels ?, Programmeur
5,Qui s’occupe de l’installation et de la maintenance des réseaux informatiques ?,Administrateur réseau
5,Quel professionnel protège les systèmes informatiques contre les cyberattaques ?,Expert en cybersécurité
5,Qui analyse des données pour en tirer des informations utiles ?,Data analyst
5,Quel métier consiste à créer des applications mobiles ?,Développeur mobile
5,Qui conçoit l’architecture technique des systèmes informatiques ?,Architecte informatique
5,Qui teste les logiciels pour détecter les bugs ?,Testeur logiciel / QA engineer
5,Quel métier consiste à gérer les bases de données ?,Administrateur base de données (DBA)
5,Qui développe des sites web interactifs et dynamiques ?,Développeur web
